"","gene_id","gene_name","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000164266.11","ENSG00000164266.11","SPINK1","protein_coding",-0.421005960984406,-2.93350406832272,-1.83969433595984,0.0660546721095965,0.0949796653702199,-4.83901229367468
"ENSG00000204616.11","ENSG00000204616.11","TRIM31","protein_coding",-0.325047381316719,-2.1472881919171,-1.86076116384483,0.0630170697182685,0.0909796622507342,-4.84138992550813
"ENSG00000197958.13","ENSG00000197958.13","RPL12","protein_coding",0.164237883938908,9.35068728667483,2.26979948420081,0.023392711031833,0.0369774616615949,-4.84147675701516
"ENSG00000103121.9","ENSG00000103121.9","CMC2","protein_coding",0.155988467968807,3.26987200834544,2.13104790998997,0.0332836093784654,0.051057194334498,-4.84153020807364
"ENSG00000158467.16","ENSG00000158467.16","AHCYL2","protein_coding",-0.155841831820098,5.01541618475493,-2.26681396362897,0.0235751135669691,0.0372347668260103,-4.84196997497383
"ENSG00000102962.5","ENSG00000102962.5","CCL22","protein_coding",0.325929040535624,2.23354232050506,2.03435186288118,0.0421309133543422,0.0632537892838647,-4.84231806328526
"ENSG00000164162.14","ENSG00000164162.14","ANAPC10","protein_coding",-0.0944999598955549,1.8754759899876,-2.03411774801575,0.0421545443573338,0.0632781402111186,-4.84383698575332
"ENSG00000167664.8","ENSG00000167664.8","TMIGD2","protein_coding",0.318240155278684,-2.69413151671631,1.82565322744908,0.0681455724464934,0.097698207348772,-4.84448557779106
"ENSG00000144118.14","ENSG00000144118.14","RALB","protein_coding",-0.112941967281278,6.13093856202322,-2.29062720823014,0.0221540159503871,0.0351724613996151,-4.84580268454129
"ENSG00000065717.15","ENSG00000065717.15","TLE2","protein_coding",-0.234458072486362,4.941054097739,-2.26376924196507,0.0237624044819962,0.0374993582744996,-4.84647427103512
"ENSG00000125257.16","ENSG00000125257.16","ABCC4","protein_coding",-0.263846638822302,3.086927863265,-2.14334378100515,0.0322817365287948,0.0496407286769787,-4.84689228080294
"ENSG00000100336.17","ENSG00000100336.17","APOL4","protein_coding",-0.284356671135066,3.27809626055074,-2.15907256933477,0.0310379533923109,0.0478876890009676,-4.8479010859339
"ENSG00000197111.16","ENSG00000197111.16","PCBP2","protein_coding",0.0974153360652705,7.34942099139475,2.29068429734285,0.022150700717636,0.0351704681749707,-4.84909445531879
"ENSG00000188822.8","ENSG00000188822.8","CNR2","protein_coding",0.38983720805979,-2.28905515104216,1.83363622495168,0.0669502184964493,0.0961215595860254,-4.84953295373821
"ENSG00000123472.12","ENSG00000123472.12","ATPAF1","protein_coding",-0.111199405653653,5.96766183361288,-2.28620556602918,0.0224121021747537,0.0355458521859483,-4.85137534809577
"ENSG00000119041.11","ENSG00000119041.11","GTF3C3","protein_coding",-0.100911404823783,5.3546673404316,-2.27238622150544,0.023235665391914,0.0367564375177813,-4.8522212566622
"ENSG00000170430.10","ENSG00000170430.10","MGMT","protein_coding",0.191072060131851,4.87110093336036,2.24047363249755,0.0252386494756121,0.039671355960239,-4.8534550244346
